strategy,strategy_label,date,asset,asset_label,old_weight,new_weight,delta_weight,portfolio_value_before,trade_notional,side
strategy_recommended_mix,Rekomendowany miks 30/70/0,2000-10-27,floating_bond,Obligacje/gotowka,0.05000000,0.06699079,0.01699079,58821.58737822,999.42537924,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,2001-01-19,long_bond,Obligacje 30+/TLT,0.20097238,0.06699079,-0.13398158,57469.27601230,-7699.82467637,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2001-01-19,floating_bond,Obligacje/gotowka,0.06699079,0.20097238,0.13398158,57469.27601230,7699.82467637,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,2001-03-02,us_equity,SPX,0.73203683,0.53203683,-0.20000000,55451.84948255,-11090.36989651,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2001-03-02,long_bond,Obligacje 30+/TLT,0.06699079,0.35097238,0.28398158,55451.84948255,15747.30409512,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,2001-03-02,floating_bond,Obligacje/gotowka,0.20097238,0.11699079,-0.08398158,55451.84948255,-4656.93419861,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2001-05-04,us_equity,SPX,0.53203683,0.26082561,-0.27121122,54752.59530477,-14849.51836518,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2001-05-04,long_bond,Obligacje 30+/TLT,0.35097238,0.55438079,0.20340842,54752.59530477,11137.13877388,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,2001-05-04,floating_bond,Obligacje/gotowka,0.11699079,0.18479360,0.06780281,54752.59530477,3712.37959129,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,2001-08-03,us_equity,SPX,0.26082561,0.13926091,-0.12156469,55582.79623985,-6756.90554233,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2001-08-03,long_bond,Obligacje 30+/TLT,0.55438079,0.64555431,0.09117352,55582.79623985,5067.67915675,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,2001-08-03,floating_bond,Obligacje/gotowka,0.18479360,0.21518477,0.03039117,55582.79623985,1689.22638558,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,2002-08-30,us_equity,SPX,0.13926091,0.10000000,-0.03926091,61556.23362236,-2416.75400807,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,2002-08-30,long_bond,Obligacje 30+/TLT,0.64555431,0.45000000,-0.19555431,61556.23362236,-12037.58705898,SELL
