date,strategy,strategy_recommended_mix,strategy_medium_aggressive,strategy_aggressive,gross_strategy,gross_strategy_medium_aggressive,gross_strategy_aggressive,benchmark_100_equity,benchmark_80_20,benchmark_60_40,turnover,turnover_medium_aggressive,turnover_aggressive,medium_aggressive_leverage,aggressive_leverage,medium_aggressive_financing_cost,aggressive_financing_cost
1975-09-26,-0.0021600932198524154,-0.0021600932198524154,-0.0021600932198524154,-0.0021600932198524154,-0.0017100932198524153,-0.0017100932198524153,-0.0017100932198524153,-0.0021385541529460594,-0.0018069971685106864,-0.0014754401840753133,0.22499999999999998,0.22499999999999998,0.22499999999999998,0.0,0.0,0.0,0.0
1975-10-03,0.00851168427780842,0.00851168427780842,0.00851168427780842,0.00851168427780842,0.00851168427780842,0.00851168427780842,0.00851168427780842,0.009748620343016379,0.009803896274413092,0.009859172205809806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-10-10,0.009561828508577657,0.009561828508577657,0.009561828508577657,0.009561828508577657,0.009561828508577657,0.009561828508577657,0.009561828508577657,0.009748620343016379,0.010639280889797712,0.011529941436579047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-10-17,0.007757934277808425,0.007757934277808425,0.007757934277808425,0.007757934277808425,0.007757934277808425,0.007757934277808425,0.007757934277808425,0.009748620343016379,0.009232357812874636,0.008716095282732891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-10-24,0.007576203508577676,0.007576203508577676,0.007576203508577676,0.007576203508577676,0.007576203508577676,0.007576203508577676,0.007576203508577676,0.009748620343016379,0.009089280889797727,0.008429941436579075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-10-31,0.007031110059864356,0.007663615377809823,0.007934689085500738,0.007934689085500738,0.007934689085500738,0.007934689085500738,0.007934689085500738,0.009748620343016379,0.009366588582105408,0.008984556821194437,0.45178951281819135,0.0,0.0,0.0,0.0,0.0,0.0
1975-11-07,0.0036473818273356265,0.003574001585859898,0.003542552910941729,0.003542552910941729,0.0036473818273356265,0.003542552910941729,0.003542552910941729,0.005063311152023742,0.004354879690849763,0.0036464482296757837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-11-14,-0.004401073239316132,-0.0007577945495202458,0.0008036106032494198,0.0008036106032494198,-0.004401073239316132,0.0008036106032494198,0.0008036106032494198,0.005063311152023742,0.0022548796908497606,-0.0005535517703242204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-11-21,-0.004391415093236151,-0.0013851307890263348,-9.67232300792708e-05,-9.67232300792708e-05,-0.004391415093236151,0.0008068557955571119,0.0008068557955571119,0.005063311152023742,0.0022606489216189913,-0.0005420133087857592,0.0,0.45178951281819135,0.45178951281819135,0.0,0.0,0.0,0.0
1975-11-28,0.007403756776043365,0.007403756776043364,0.007403756776043365,0.007403756776043365,0.007403756776043365,0.007403756776043365,0.007403756776043365,0.005063311152023742,0.005346418152388233,0.0056295251527527235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-05,-0.0005923500801494335,-0.0005923500801494335,-0.0005923500801494335,-0.0005923500801494335,-0.0005923500801494335,-0.0005923500801494335,-0.0005923500801494335,-0.002964565098148575,-0.0019185751554419523,-0.0008725852127353297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-12,-0.0005934232074915049,-0.0005934232074915049,-0.0005934232074915049,-0.0005934232074915049,-0.0005934232074915049,-0.0005934232074915049,-0.0005934232074915049,-0.002964565098148575,-0.0019189597708265287,-0.0008733544435044825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-19,0.011727151808538904,0.011727151808538904,0.011727151808538904,0.011727151808538904,0.011727151808538904,0.011727151808538904,0.011727151808538904,-0.002964565098148575,0.0013006556137888318,0.0055658763257262385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-12-26,0.005641164135433388,0.005641164135433387,0.005641164135433388,0.005641164135433388,0.005818941913211166,0.005818941913211166,0.005818941913211166,-0.002964565098148575,-0.0002485751554419432,0.0024674147872646886,0.08888888888888882,0.08888888888888882,0.08888888888888882,0.0,0.0,0.0,0.0
1976-01-02,0.01141487537794216,0.01141487537794216,0.01141487537794216,0.01141487537794216,0.01141487537794216,0.01141487537794216,0.01141487537794216,0.018401393664080334,0.014739191854341202,0.01107699004460207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-09,0.01864523495191614,0.01864523495191614,0.01864523495191614,0.01864523495191614,0.01864523495191614,0.01864523495191614,0.01864523495191614,0.018401393664080334,0.016839961085110416,0.015278528506140497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-16,0.005131286486695967,0.005131286486695967,0.005131286486695967,0.005131286486695967,0.005131286486695967,0.005131286486695967,0.005131286486695967,0.018401393664080334,0.01291496108511042,0.007428528506140505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-01-23,0.012680154690984703,0.012680154690984703,0.012680154690984703,0.012680154690984703,0.012857932468762481,0.012857932468762481,0.012857932468762481,0.018401393664080334,0.015160730315879637,0.011920066967678939,0.08888888888888899,0.08888888888888899,0.08888888888888899,0.0,0.0,0.0,0.0
1976-01-30,0.012335803773385045,0.012335803773385045,0.012335803773385045,0.012335803773385045,0.012335803773385045,0.012335803773385045,0.012335803773385045,0.018401393664080334,0.014740345700495048,0.011079297736909762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976-02-06,0.004157863120054503,0.004157863120054502,0.004157863120054503,0.004157863120054503,0.004157863120054503,0.004157863120054503,0.004157863120054503,0.010286260717991436,0.007409008574393155,0.004531756430794874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
